user_id,MONTH,YEAR,distance,COUNT
324174,10,2015,190,1
324174,11,2015,4,1
324179,10,2015,1592,1
324190,10,2015,135,1
324190,11,2015,149,1
324190,12,2015,715,2
324198,10,2015,385,1
324201,10,2015,286,7
324201,11,2015,743,8
324203,10,2015,272,1
324203,11,2015,1164,8
324203,12,2015,560,2
324205,10,2015,288,3
324213,11,2015,296,1
324221,10,2015,4,1
324227,12,2015,968,1
324228,10,2015,320,1
324230,10,2015,240,1
324236,10,2015,56,1
324238,10,2015,240,1
324240,10,2015,258,1
324240,11,2015,578,6
324246,10,2015,240,1
324247,10,2015,320,1
324250,10,2015,208,1
324251,10,2015,56,1
324261,10,2015,240,1
324262,10,2015,320,1
324263,10,2015,513,1
324264,10,2015,56,1
324265,10,2015,240,1
324271,10,2015,240,1
324276,10,2015,104,1
324277,10,2015,480,1
324280,10,2015,56,1
324290,10,2015,28,1
324291,10,2015,416,1
324294,10,2015,56,1
324295,10,2015,240,1
324298,10,2015,1144,1
324298,11,2015,2757,6
324298,12,2015,1796,4
324304,10,2015,320,1
324306,10,2015,140,2
324309,10,2015,640,1
324316,10,2015,56,1
324318,10,2015,240,1
324320,10,2015,1281,2
324320,11,2015,759,1
324320,12,2015,518,1
324321,10,2015,56,1
324326,10,2015,240,1
324330,10,2015,56,1
324331,10,2015,320,1
324337,10,2015,416,1
324345,10,2015,240,1
324347,10,2015,56,1
324353,10,2015,240,1
324354,10,2015,240,1
324355,10,2015,130,1
324355,11,2015,1155,1
324355,12,2015,3444,2
324356,10,2015,240,1
324357,10,2015,656,1
324359,10,2015,56,1
324361,10,2015,240,1
324362,11,2015,552,2
324365,12,2015,360,1
324373,11,2015,320,1
324374,10,2015,240,1
324376,10,2015,240,1
324383,10,2015,536,2
324383,11,2015,480,4
324383,12,2015,240,2
324391,10,2015,88,1
324391,11,2015,1560,1
324392,10,2015,240,1
324394,10,2015,640,1
324395,10,2015,42,1
324395,11,2015,480,4
324395,12,2015,240,2
324403,11,2015,240,2
324403,12,2015,820,5
324404,10,2015,240,1
324405,11,2015,92,2
324405,12,2015,760,2
324406,10,2015,56,1
324408,12,2015,640,1
324411,11,2015,184,2
324413,10,2015,1564,2
324413,11,2015,770,1
324418,10,2015,480,1
324428,11,2015,137,1
324432,10,2015,288,1
324439,10,2015,574,1
324440,10,2015,480,1
324444,10,2015,656,1
324449,11,2015,780,1
324450,10,2015,186,1
324456,10,2015,416,1
324459,10,2015,656,1
324463,10,2015,240,1
324469,10,2015,656,1
324471,10,2015,124,1
324490,10,2015,240,1
324499,10,2015,640,1
324505,10,2015,640,1
324509,10,2015,480,1
324518,10,2015,282,1
324522,10,2015,210,1
324522,12,2015,56,1
324523,10,2015,158,1
324525,1,2016,182,1
324530,10,2015,1930,10
324530,11,2015,125,2
324540,10,2015,356,1
324541,10,2015,162,2
324565,10,2015,102,2
324565,11,2015,68,1
324566,10,2015,192,1
324576,10,2015,566,2
324577,10,2015,807,1
324578,10,2015,538,1
324579,10,2015,448,1
324581,10,2015,297,1
324583,10,2015,538,1
324589,10,2015,1076,1
324610,10,2015,264,1
324617,10,2015,1841,2
324617,12,2015,1428,1
324623,10,2015,88,1
324623,11,2015,88,1
324625,10,2015,264,1
324631,11,2015,112,2
324641,10,2015,72,1
324645,11,2015,385,1
324649,10,2015,2214,2
324649,11,2015,123,1
324651,11,2015,44,1
324661,10,2015,142,1
324672,10,2015,385,1
324679,10,2015,222,1
324681,10,2015,88,1
324683,11,2015,3320,1
324689,10,2015,342,1
324706,10,2015,66,1
324706,11,2015,88,1
324723,10,2015,304,1
324751,11,2015,72,4
324763,10,2015,621,2
324766,11,2015,446,2
324766,12,2015,445,2
324771,10,2015,90,1
324771,11,2015,90,1
324773,10,2015,624,1
324786,10,2015,10,1
324791,10,2015,216,1
324791,11,2015,2408,3
324791,12,2015,1524,4
324807,10,2015,78,1
324808,11,2015,144,1
324814,10,2015,2352,1
324839,10,2015,250,1
324845,10,2015,140,1
324867,11,2015,732,1
324867,12,2015,435,1
324882,10,2015,233,2
324882,11,2015,674,4
324893,10,2015,254,1
324896,10,2015,88,1
324896,11,2015,176,2
324897,10,2015,56,1
324901,11,2015,320,1
324904,10,2015,144,1
324905,11,2015,320,1
324905,12,2015,1400,6
324907,10,2015,56,1
324907,12,2015,472,3
324917,10,2015,56,1
324917,11,2015,200,1
324917,12,2015,736,3
324918,12,2015,160,1
324919,10,2015,200,1
324927,10,2015,56,1
324927,12,2015,788,3
324931,10,2015,248,1
324937,10,2015,56,1
324942,11,2015,160,1
324944,10,2015,224,1
324945,12,2015,848,2
324948,10,2015,56,1
324948,12,2015,720,2
324949,10,2015,240,1
324950,10,2015,480,1
324951,10,2015,640,1
324958,10,2015,240,1
324959,12,2015,372,3
324961,10,2015,224,1
324962,10,2015,56,2
324963,10,2015,480,1
324963,11,2015,240,2
324965,10,2015,28,1
324966,12,2015,1176,3
324970,12,2015,328,1
324972,10,2015,416,1
324976,10,2015,120,1
324978,10,2015,224,1
324978,12,2015,576,2
324988,10,2015,96,1
324992,10,2015,56,1
324992,12,2015,1542,5
324996,10,2015,240,1
324998,10,2015,416,1
325000,10,2015,112,1
325003,11,2015,88,1
325004,12,2015,220,2
325005,10,2015,240,1
325006,10,2015,152,3
325006,11,2015,492,6
325006,12,2015,56,1
325008,10,2015,88,1
325008,11,2015,136,2
325008,12,2015,288,1
325012,10,2015,56,1
325013,10,2015,240,1
325014,10,2015,224,1
325018,12,2015,220,2
325019,11,2015,180,3
325023,10,2015,240,1
325027,10,2015,56,1
325028,10,2015,1104,2
325028,11,2015,1424,4
325033,10,2015,416,1
325034,10,2015,240,1
325041,10,2015,240,1
325042,10,2015,56,1
325043,10,2015,176,1
325046,10,2015,88,1
325060,10,2015,416,1
325062,10,2015,224,1
325064,10,2015,800,1
